D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/word2vec/cbow.py
------------------------------------------------------------
                       GPU Mode (cupy)
------------------------------------------------------------

| epoch 1 |  iter 3741 / 9295 | time 69[s] | loss 2.41
| epoch 1 |  iter 3761 / 9295 | time 70[s] | loss 2.40
| epoch 1 |  iter 3781 / 9295 | time 70[s] | loss 2.41
| epoch 1 |  iter 3801 / 9295 | time 70[s] | loss 2.42
| epoch 1 |  iter 3821 / 9295 | time 71[s] | loss 2.38
| epoch 1 |  iter 3841 / 9295 | time 71[s] | loss 2.41
| epoch 1 |  iter 3861 / 9295 | time 72[s] | loss 2.44
| epoch 1 |  iter 3881 / 9295 | time 72[s] | loss 2.41
| epoch 1 |  iter 3901 / 9295 | time 72[s] | loss 2.44
| epoch 1 |  iter 3921 / 9295 | time 73[s] | loss 2.46
| epoch 1 |  iter 3941 / 9295 | time 73[s] | loss 2.41
| epoch 1 |  iter 3961 / 9295 | time 74[s] | loss 2.44
| epoch 1 |  iter 3981 / 9295 | time 74[s] | loss 2.41
| epoch 1 |  iter 4001 / 9295 | time 74[s] | loss 2.42
| epoch 1 |  iter 4021 / 9295 | time 75[s] | loss 2.45
| epoch 1 |  iter 4041 / 9295 | time 75[s] | loss 2.43
| epoch 1 |  iter 4061 / 9295 | time 76[s] | loss 2.44
| epoch 1 |  iter 4081 / 9295 | time 76[s] | loss 2.41
| epoch 1 |  iter 4101 / 9295 | time 76[s] | loss 2.40
| epoch 1 |  iter 4121 / 9295 | time 77[s] | loss 2.38
| epoch 1 |  iter 4141 / 9295 | time 77[s] | loss 2.40
| epoch 1 |  iter 4161 / 9295 | time 78[s] | loss 2.42
| epoch 1 |  iter 4181 / 9295 | time 78[s] | loss 2.42
| epoch 1 |  iter 4201 / 9295 | time 78[s] | loss 2.42
| epoch 1 |  iter 4221 / 9295 | time 79[s] | loss 2.42
| epoch 1 |  iter 4241 / 9295 | time 79[s] | loss 2.41
| epoch 1 |  iter 4261 / 9295 | time 80[s] | loss 2.40
| epoch 1 |  iter 4281 / 9295 | time 80[s] | loss 2.43
| epoch 1 |  iter 4301 / 9295 | time 80[s] | loss 2.41
| epoch 1 |  iter 4321 / 9295 | time 81[s] | loss 2.40
| epoch 1 |  iter 4341 / 9295 | time 81[s] | loss 2.38
| epoch 1 |  iter 4361 / 9295 | time 82[s] | loss 2.42
| epoch 1 |  iter 4381 / 9295 | time 82[s] | loss 2.40
| epoch 1 |  iter 4401 / 9295 | time 82[s] | loss 2.41
| epoch 1 |  iter 4421 / 9295 | time 83[s] | loss 2.38
| epoch 1 |  iter 4441 / 9295 | time 83[s] | loss 2.40
| epoch 1 |  iter 4461 / 9295 | time 84[s] | loss 2.41
| epoch 1 |  iter 4481 / 9295 | time 84[s] | loss 2.40
| epoch 1 |  iter 4501 / 9295 | time 84[s] | loss 2.41
| epoch 1 |  iter 4521 / 9295 | time 85[s] | loss 2.41
| epoch 1 |  iter 4541 / 9295 | time 85[s] | loss 2.41
| epoch 1 |  iter 4561 / 9295 | time 86[s] | loss 2.38
| epoch 1 |  iter 4581 / 9295 | time 86[s] | loss 2.39
| epoch 1 |  iter 4601 / 9295 | time 86[s] | loss 2.40
| epoch 1 |  iter 4621 / 9295 | time 87[s] | loss 2.37
| epoch 1 |  iter 4641 / 9295 | time 87[s] | loss 2.39
| epoch 1 |  iter 4661 / 9295 | time 88[s] | loss 2.39
| epoch 1 |  iter 4681 / 9295 | time 88[s] | loss 2.41
| epoch 1 |  iter 4701 / 9295 | time 88[s] | loss 2.37
| epoch 1 |  iter 4721 / 9295 | time 89[s] | loss 2.39
| epoch 1 |  iter 4741 / 9295 | time 89[s] | loss 2.37
| epoch 1 |  iter 4761 / 9295 | time 90[s] | loss 2.36
| epoch 1 |  iter 4781 / 9295 | time 90[s] | loss 2.39
| epoch 1 |  iter 4801 / 9295 | time 90[s] | loss 2.39
| epoch 1 |  iter 4821 / 9295 | time 91[s] | loss 2.37
| epoch 1 |  iter 4841 / 9295 | time 91[s] | loss 2.38
| epoch 1 |  iter 4861 / 9295 | time 92[s] | loss 2.39
| epoch 1 |  iter 4881 / 9295 | time 92[s] | loss 2.37
| epoch 1 |  iter 4901 / 9295 | time 92[s] | loss 2.38
| epoch 1 |  iter 4921 / 9295 | time 93[s] | loss 2.42
| epoch 1 |  iter 4941 / 9295 | time 93[s] | loss 2.36
| epoch 1 |  iter 4961 / 9295 | time 94[s] | loss 2.36
| epoch 1 |  iter 4981 / 9295 | time 94[s] | loss 2.38
| epoch 1 |  iter 5001 / 9295 | time 94[s] | loss 2.37
| epoch 1 |  iter 5021 / 9295 | time 95[s] | loss 2.35
| epoch 1 |  iter 5041 / 9295 | time 95[s] | loss 2.36
| epoch 1 |  iter 5061 / 9295 | time 96[s] | loss 2.38
| epoch 1 |  iter 5081 / 9295 | time 96[s] | loss 2.39
| epoch 1 |  iter 5101 / 9295 | time 96[s] | loss 2.37
| epoch 1 |  iter 5121 / 9295 | time 97[s] | loss 2.35
| epoch 1 |  iter 5141 / 9295 | time 97[s] | loss 2.37
| epoch 1 |  iter 5161 / 9295 | time 98[s] | loss 2.38
| epoch 1 |  iter 5181 / 9295 | time 98[s] | loss 2.40
| epoch 1 |  iter 5201 / 9295 | time 98[s] | loss 2.36
| epoch 1 |  iter 5221 / 9295 | time 99[s] | loss 2.36
| epoch 1 |  iter 5241 / 9295 | time 99[s] | loss 2.38
| epoch 1 |  iter 5261 / 9295 | time 100[s] | loss 2.35
| epoch 1 |  iter 5281 / 9295 | time 100[s] | loss 2.41
| epoch 1 |  iter 5301 / 9295 | time 100[s] | loss 2.36
| epoch 1 |  iter 5321 / 9295 | time 101[s] | loss 2.38
| epoch 1 |  iter 5341 / 9295 | time 101[s] | loss 2.39
| epoch 1 |  iter 5361 / 9295 | time 102[s] | loss 2.36
| epoch 1 |  iter 5381 / 9295 | time 102[s] | loss 2.35
| epoch 1 |  iter 5401 / 9295 | time 103[s] | loss 2.35
| epoch 1 |  iter 5421 / 9295 | time 103[s] | loss 2.35
| epoch 1 |  iter 5441 / 9295 | time 103[s] | loss 2.37
| epoch 1 |  iter 5461 / 9295 | time 104[s] | loss 2.37
| epoch 1 |  iter 5481 / 9295 | time 104[s] | loss 2.36
