D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/recurrent_nerual_network/rnnlm.py
| epoch 3 |  iter 121 / 1327 | time 732[s] | perplexity 448.14
| epoch 3 |  iter 141 / 1327 | time 738[s] | perplexity 473.39
| epoch 3 |  iter 161 / 1327 | time 744[s] | perplexity 487.85
| epoch 3 |  iter 181 / 1327 | time 750[s] | perplexity 521.80
| epoch 3 |  iter 201 / 1327 | time 756[s] | perplexity 481.13
| epoch 3 |  iter 221 / 1327 | time 762[s] | perplexity 483.63
| epoch 3 |  iter 241 / 1327 | time 767[s] | perplexity 465.96
| epoch 3 |  iter 261 / 1327 | time 773[s] | perplexity 498.97
| epoch 3 |  iter 281 / 1327 | time 779[s] | perplexity 497.23
| epoch 3 |  iter 301 / 1327 | time 785[s] | perplexity 451.74
| epoch 3 |  iter 321 / 1327 | time 791[s] | perplexity 425.51
| epoch 3 |  iter 341 / 1327 | time 797[s] | perplexity 458.72
| epoch 3 |  iter 361 / 1327 | time 803[s] | perplexity 532.33
| epoch 3 |  iter 381 / 1327 | time 808[s] | perplexity 461.85
| epoch 3 |  iter 401 / 1327 | time 814[s] | perplexity 473.45
| epoch 3 |  iter 421 / 1327 | time 820[s] | perplexity 469.50
| epoch 3 |  iter 441 / 1327 | time 826[s] | perplexity 459.36
| epoch 3 |  iter 461 / 1327 | time 832[s] | perplexity 470.24
| epoch 3 |  iter 481 / 1327 | time 838[s] | perplexity 469.54
| epoch 3 |  iter 501 / 1327 | time 844[s] | perplexity 474.82
| epoch 3 |  iter 521 / 1327 | time 850[s] | perplexity 474.24
| epoch 3 |  iter 541 / 1327 | time 855[s] | perplexity 496.49
| epoch 3 |  iter 561 / 1327 | time 862[s] | perplexity 482.01
| epoch 3 |  iter 581 / 1327 | time 868[s] | perplexity 435.33
| epoch 3 |  iter 601 / 1327 | time 874[s] | perplexity 570.26
| epoch 3 |  iter 621 / 1327 | time 881[s] | perplexity 537.56
| epoch 3 |  iter 641 / 1327 | time 887[s] | perplexity 489.72
| epoch 3 |  iter 661 / 1327 | time 893[s] | perplexity 468.34
| epoch 3 |  iter 681 / 1327 | time 899[s] | perplexity 423.38
| epoch 3 |  iter 701 / 1327 | time 906[s] | perplexity 472.23
| epoch 3 |  iter 721 / 1327 | time 912[s] | perplexity 485.23
| epoch 3 |  iter 741 / 1327 | time 919[s] | perplexity 419.83
| epoch 3 |  iter 761 / 1327 | time 925[s] | perplexity 454.55
| epoch 3 |  iter 781 / 1327 | time 931[s] | perplexity 433.08
| epoch 3 |  iter 801 / 1327 | time 938[s] | perplexity 466.50
| epoch 3 |  iter 821 / 1327 | time 944[s] | perplexity 437.11
| epoch 3 |  iter 841 / 1327 | time 951[s] | perplexity 469.34
| epoch 3 |  iter 861 / 1327 | time 957[s] | perplexity 480.18
| epoch 3 |  iter 881 / 1327 | time 964[s] | perplexity 455.82
| epoch 3 |  iter 901 / 1327 | time 971[s] | perplexity 473.88
| epoch 3 |  iter 921 / 1327 | time 977[s] | perplexity 476.20
| epoch 3 |  iter 941 / 1327 | time 984[s] | perplexity 479.99
| epoch 3 |  iter 961 / 1327 | time 990[s] | perplexity 495.56
| epoch 3 |  iter 981 / 1327 | time 997[s] | perplexity 470.82
| epoch 3 |  iter 1001 / 1327 | time 1003[s] | perplexity 440.89
| epoch 3 |  iter 1021 / 1327 | time 1010[s] | perplexity 491.88
| epoch 3 |  iter 1041 / 1327 | time 1016[s] | perplexity 459.93
| epoch 3 |  iter 1061 / 1327 | time 1023[s] | perplexity 453.83
| epoch 3 |  iter 1081 / 1327 | time 1029[s] | perplexity 408.48
| epoch 3 |  iter 1101 / 1327 | time 1035[s] | perplexity 427.65
| epoch 3 |  iter 1121 / 1327 | time 1042[s] | perplexity 493.99
| epoch 3 |  iter 1141 / 1327 | time 1048[s] | perplexity 470.24
| epoch 3 |  iter 1161 / 1327 | time 1054[s] | perplexity 460.80
| epoch 3 |  iter 1181 / 1327 | time 1060[s] | perplexity 463.85
| epoch 3 |  iter 1201 / 1327 | time 1067[s] | perplexity 402.75
| epoch 3 |  iter 1221 / 1327 | time 1073[s] | perplexity 386.01
| epoch 3 |  iter 1241 / 1327 | time 1080[s] | perplexity 466.55
| epoch 3 |  iter 1261 / 1327 | time 1086[s] | perplexity 418.80
| epoch 3 |  iter 1281 / 1327 | time 1092[s] | perplexity 438.56
| epoch 3 |  iter 1301 / 1327 | time 1099[s] | perplexity 533.02
| epoch 3 |  iter 1321 / 1327 | time 1105[s] | perplexity 498.11
| epoch 4 |  iter 1 / 1327 | time 1107[s] | perplexity 496.59
| epoch 4 |  iter 21 / 1327 | time 1113[s] | perplexity 516.88
| epoch 4 |  iter 41 / 1327 | time 1119[s] | perplexity 494.19
| epoch 4 |  iter 61 / 1327 | time 1125[s] | perplexity 465.23
| epoch 4 |  iter 81 / 1327 | time 1131[s] | perplexity 451.25
| epoch 4 |  iter 101 / 1327 | time 1137[s] | perplexity 425.15
| epoch 4 |  iter 121 / 1327 | time 1144[s] | perplexity 459.99
| epoch 4 |  iter 141 / 1327 | time 1150[s] | perplexity 477.37
| epoch 4 |  iter 161 / 1327 | time 1156[s] | perplexity 506.66
| epoch 4 |  iter 181 / 1327 | time 1162[s] | perplexity 539.69
| epoch 4 |  iter 201 / 1327 | time 1169[s] | perplexity 515.16
| epoch 4 |  iter 221 / 1327 | time 1175[s] | perplexity 518.53
| epoch 4 |  iter 241 / 1327 | time 1182[s] | perplexity 488.88
| epoch 4 |  iter 261 / 1327 | time 1189[s] | perplexity 503.13
| epoch 4 |  iter 281 / 1327 | time 1195[s] | perplexity 512.75
| epoch 4 |  iter 301 / 1327 | time 1202[s] | perplexity 467.26
| epoch 4 |  iter 321 / 1327 | time 1208[s] | perplexity 427.64
| epoch 4 |  iter 341 / 1327 | time 1215[s] | perplexity 451.74
